cell_id,model,prompt_cell,effort,replicate,tools_allowed,session_id,jsonl_path,dispatch_duration_s,dispatch_exit_code,error_note,n_turns,thinking_block_count,thinking_total_chars,visible_response_chars,tool_call_count,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,visible_tokens_approx,phantom_tokens,jsonl_duration_s,marker_self_correction_count,marker_branching_count,marker_uncertainty_count,marker_dead_end_count,marker_self_correction_density,marker_branching_density,marker_uncertainty_density,marker_dead_end_density,n_records,file_size_bytes,first_ts,last_ts,model_from_jsonl,prompt_cell_inferred,claude_code_version_jsonl,claude_version_dispatch,dispatch_started_at,dispatch_ended_at
1,sonnet,A,low,1,false,8f5a528d-acb0-42f9-9bd1-024ac01bd6d6,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8f5a528d-acb0-42f9-9bd1-024ac01bd6d6.jsonl,6,0,,1,0,0,118,0,3,27,0,11704,30,-3,3.059,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:04.795Z,2026-04-16T06:08:07.854Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:02Z,2026-04-16T06:08:08Z
2,sonnet,A,low,2,false,c6bef3ce-9a90-46ae-b21f-6fccb5192bc4,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c6bef3ce-9a90-46ae-b21f-6fccb5192bc4.jsonl,6,0,,1,0,0,112,0,3,25,0,11734,28,-3,3.675,0,0,0,0,0.0,0.0,0.0,0.0,6,3115,2026-04-16T06:08:12.289Z,2026-04-16T06:08:15.964Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:10Z,2026-04-16T06:08:16Z
3,sonnet,A,low,3,false,34bcc74a-9eb4-4e8c-b13a-1931d2c56771,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/34bcc74a-9eb4-4e8c-b13a-1931d2c56771.jsonl,7,0,,1,0,0,118,0,3,27,0,11764,30,-3,5.08,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:20.211Z,2026-04-16T06:08:25.291Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:18Z,2026-04-16T06:08:25Z
4,sonnet,A,high,1,false,e666f6e8-efef-4afe-aa53-e12fb0bdbcfe,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e666f6e8-efef-4afe-aa53-e12fb0bdbcfe.jsonl,8,0,,1,0,0,118,0,3,27,0,11794,30,-3,4.045,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:30.990Z,2026-04-16T06:08:35.035Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:27Z,2026-04-16T06:08:35Z
5,sonnet,A,high,2,false,80d42e10-43b1-4301-b475-5f73c34ce43b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/80d42e10-43b1-4301-b475-5f73c34ce43b.jsonl,6,0,,1,0,0,118,0,3,27,0,11824,30,-3,4.043,0,0,0,0,0.0,0.0,0.0,0.0,6,3121,2026-04-16T06:08:39.460Z,2026-04-16T06:08:43.503Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:37Z,2026-04-16T06:08:43Z
6,sonnet,A,high,3,false,286083dc-7fbe-4100-a477-0600c66f6347,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/286083dc-7fbe-4100-a477-0600c66f6347.jsonl,6,0,,1,0,0,112,0,3,25,0,11854,28,-3,3.102,0,0,0,0,0.0,0.0,0.0,0.0,6,3115,2026-04-16T06:08:47.683Z,2026-04-16T06:08:50.785Z,claude-sonnet-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:45Z,2026-04-16T06:08:51Z
7,opus,A,low,1,false,323a1f13-6674-4ecb-9733-55411d084118,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/323a1f13-6674-4ecb-9733-55411d084118.jsonl,5,0,,1,0,0,51,0,6,20,0,16765,13,7,3.046,0,0,0,0,0.0,0.0,0.0,0.0,6,3052,2026-04-16T06:08:55.122Z,2026-04-16T06:08:58.168Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:08:53Z,2026-04-16T06:08:58Z
8,opus,A,low,2,false,f29ebcc8-783b-42e1-a282-54712acb075e,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f29ebcc8-783b-42e1-a282-54712acb075e.jsonl,6,0,,1,0,0,51,0,6,20,2082,14726,13,7,3.013,0,0,0,0,0.0,0.0,0.0,0.0,6,3058,2026-04-16T06:09:02.809Z,2026-04-16T06:09:05.822Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:09:00Z,2026-04-16T06:09:06Z
9,opus,A,low,3,false,,,25,1,exit_code=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.110 (Claude Code),2026-04-16T06:09:08Z,2026-04-16T06:09:33Z
10,opus,A,high,1,false,20a48f96-37b5-47d0-8fc3-a61823a30842,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/20a48f96-37b5-47d0-8fc3-a61823a30842.jsonl,6,0,,1,0,0,56,0,6,23,0,16894,14,9,3.12,0,0,0,0,0.0,0.0,0.0,0.0,6,3057,2026-04-16T06:09:37.607Z,2026-04-16T06:09:40.727Z,claude-opus-4-6,A,2.1.110,2.1.110 (Claude Code),2026-04-16T06:09:35Z,2026-04-16T06:09:41Z
