cell_id,model,prompt_cell,effort,replicate,tools_allowed,session_id,jsonl_path,started_at,ended_at,duration_s,exit_code,claude_version,error_note
1,sonnet,A,low,1,false,8f5a528d-acb0-42f9-9bd1-024ac01bd6d6,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8f5a528d-acb0-42f9-9bd1-024ac01bd6d6.jsonl,2026-04-16T06:08:02Z,2026-04-16T06:08:08Z,6,0,2.1.110 (Claude Code),
2,sonnet,A,low,2,false,c6bef3ce-9a90-46ae-b21f-6fccb5192bc4,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/c6bef3ce-9a90-46ae-b21f-6fccb5192bc4.jsonl,2026-04-16T06:08:10Z,2026-04-16T06:08:16Z,6,0,2.1.110 (Claude Code),
3,sonnet,A,low,3,false,34bcc74a-9eb4-4e8c-b13a-1931d2c56771,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/34bcc74a-9eb4-4e8c-b13a-1931d2c56771.jsonl,2026-04-16T06:08:18Z,2026-04-16T06:08:25Z,7,0,2.1.110 (Claude Code),
4,sonnet,A,high,1,false,e666f6e8-efef-4afe-aa53-e12fb0bdbcfe,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/e666f6e8-efef-4afe-aa53-e12fb0bdbcfe.jsonl,2026-04-16T06:08:27Z,2026-04-16T06:08:35Z,8,0,2.1.110 (Claude Code),
5,sonnet,A,high,2,false,80d42e10-43b1-4301-b475-5f73c34ce43b,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/80d42e10-43b1-4301-b475-5f73c34ce43b.jsonl,2026-04-16T06:08:37Z,2026-04-16T06:08:43Z,6,0,2.1.110 (Claude Code),
6,sonnet,A,high,3,false,286083dc-7fbe-4100-a477-0600c66f6347,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/286083dc-7fbe-4100-a477-0600c66f6347.jsonl,2026-04-16T06:08:45Z,2026-04-16T06:08:51Z,6,0,2.1.110 (Claude Code),
7,opus,A,low,1,false,323a1f13-6674-4ecb-9733-55411d084118,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/323a1f13-6674-4ecb-9733-55411d084118.jsonl,2026-04-16T06:08:53Z,2026-04-16T06:08:58Z,5,0,2.1.110 (Claude Code),
8,opus,A,low,2,false,f29ebcc8-783b-42e1-a282-54712acb075e,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/f29ebcc8-783b-42e1-a282-54712acb075e.jsonl,2026-04-16T06:09:00Z,2026-04-16T06:09:06Z,6,0,2.1.110 (Claude Code),
9,opus,A,low,3,false,,,2026-04-16T06:09:08Z,2026-04-16T06:09:33Z,25,1,2.1.110 (Claude Code),exit_code=1
10,opus,A,high,1,false,20a48f96-37b5-47d0-8fc3-a61823a30842,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/20a48f96-37b5-47d0-8fc3-a61823a30842.jsonl,2026-04-16T06:09:35Z,2026-04-16T06:09:41Z,6,0,2.1.110 (Claude Code),
11,opus,A,high,2,false,051040b0-8148-43a6-9344-24b16261062c,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/051040b0-8148-43a6-9344-24b16261062c.jsonl,2026-04-16T06:09:43Z,2026-04-16T06:09:53Z,10,0,2.1.110 (Claude Code),
12,opus,A,high,3,false,,,2026-04-16T06:09:55Z,2026-04-16T06:10:21Z,26,1,2.1.110 (Claude Code),exit_code=1
13,sonnet,B-notools,low,1,false,8366460a-6814-4a24-b467-32cc9d384b42,/home/rookslog/.claude/projects/-home-rookslog-workspace-projects-get-shit-done-reflect/8366460a-6814-4a24-b467-32cc9d384b42.jsonl,2026-04-16T06:10:23Z,2026-04-16T06:11:46Z,83,0,2.1.110 (Claude Code),
